OBJECTID,InspectDate,RecordUpdatedDate,SiteName,MineName,Mineral,County,Quadrangle,MineAcres,Directions,OlacRank,x,y,WaterName,WaterDescription,Basin,WaterAcres,DistanceMineWater
1,1/20/2002 7:00 PM,,MRV81C_701,,ZINC,Montgomery,Riner,1,"      At Riner on Rt. 8 S, turn left onto Firview Church Rd.  Gov ~2.5 miles, and turn left onto Sydney Church Rd.  Go ~2 miles + take 1st right into unpaved access road.  Go to end at house.  Walk up old trail from house to Calfee Knob, where site is.",C,-80.484,37.035,Unnamed tributary,"New River and its tributaries, unless otherwise designated in this chapter, from the Montgomery/Giles County line upstream to the Virginia/North Carolina state line (to include Peach Bottom Creek from its confluence with the New River to the mouth of Lit",New,1,0.6919
2,7/2/2001 8:00 PM,,MRV19A_903,,MICA,Patrick,Stuart,1,"      Take Blue Ridge Parkway South to 58 South.  58 S to Junction w/ 8 South.  At town of Stuart, take Poor House Creek Road for approx. 1 mile.  Site is on the left.",C,-80.289,36.649,Unnamed tributary,North Fork South Mayo River from its confluence with the South Mayo River upstream including all named and unnamed tributaries.,Roanoke,1,1.1097
3,7/2/2001 8:00 PM,,MRV19A_801,,MICA,Patrick,Stuart,5,"Take Blue Ridge Parkway South to 58 S.  58 S to Junction w/ 8 South.  At town of Stuart, take 631 West.  Approx. 2 miles, site is on right.",C,-80.302,36.643,Unnamed tributary,South Mayo River from river mile 33.8 upstream including all named and unnamed tributaries.,Roanoke,5,0.4091
4,7/9/2001 8:00 PM,,MRV18B_101,,MICA,Patrick,Patrick Springs,1,"      Take route 8 South, site will be on left before cemetary.",C,-80.245,36.73,Unnamed tributary,"Philpott Reservoir, Fairystone Lake and their tributaries.",Roanoke,1,0.2546
5,7/10/2001 8:00 PM,3/21/2016 8:00 PM,MRV18B_301-303,,GOLD,Patrick,Patrick Springs,1,Located off of Pole Bridge road about 6 miles from Route 57.,C,-80.144,36.726,Unnamed tributary,Polebridge Creek from Route 692 upstream including all named and unnamed tributaries.,Roanoke,1,1.4546
6,8/9/2001 8:00 PM,3/30/2016 8:00 PM,MRV50C_602,,MAFIC ROCK,Patrick,Charity,1,"    Take route 74 on from site 601, 3/4 miles turn rithe on Route 705.  Drive 3/4 mile.  Site is on left, just past Lawson St. Road at White House Tax Service.",C,-80.165,36.792,Unnamed tributary,"Philpott Reservoir, Fairystone Lake and their tributaries.",Roanoke,1,0.9248
7,7/12/2001 8:00 PM,,MRV51C_201,,COPPER,Floyd,Willis,2,"     From town of Floyd, Virginia, take 221 West for approx. 6 miles.  Take route 771 South for approx 1 mile.  Site is on right.  ",C,-80.448,36.874,Unnamed tributary,Greasy Creek from the Floyd/Carroll County line upstream including all named and unnamed tributaries.,New,2,1.1499
8,9/14/2001 8:00 PM,3/30/2016 8:00 PM,MRV51C_502,,MAFIC ROCK,Floyd,Willis,1.5,"     From town of Floyd, VA, take route 221 south for about 6 miles and turn left onto Union School Road.  Go about 3 or 4 miles.  Site is on right about .2 miles past Rush Creek Road. ",C,-80.424,36.826,Unnamed tributary,Burks Fork from the Floyd/Carroll County line upstream including all named and unnamed tributaries.,New,1.5,1.1679
9,6/10/2001 8:00 PM,,MRV51B_301,,GOLD,Floyd,Alum Ridge,0.2,"   From Floyd, take rte 8 N approx 7 miles.  Take right onto 617.  Go approx. 1/2 mile, site is located off of road to the left.",C,-80.404,36.989,Unnamed tributary,"New River and its tributaries, unless otherwise designated in this chapter, from the Montgomery/Giles County line upstream to the Virginia/North Carolina state line (to include Peach Bottom Creek from its confluence with the New River to the mouth of Lit",New,0.2,0.6229
10,4/10/2002 8:00 PM,4/16/2018 8:00 PM,MRV51C_601,,PYRITE,Floyd,Willis,8,"  From route 8 south, turn right onto 221 South.  Go about 4.3 miles.  Turn left onto Black Ridge Road.  Go about 1.4 miles.  Turn left onto Old Furnace Road.  Go about 1.6 miles.  At sharp U in road, turn right across small bridge.  This is th entrance to Shelor's Paradise.  Site is up on hilltop behind here.",Reclaimed,-80.376,36.83,Unnamed tributary,East Prong Furnace Creek from its confluence with Furnace Creek upstream including all named and unnamed tributaries.,New,0.25,1.7913
11,4/14/2002 8:00 PM,,MRV175D_201,,MANGANESE,Augusta,Waynesboro East,1,"  Merge onto I-64 (West)	20.0 mi  At I-64 Exit 99, turn off onto Ramp 0.2 mi  Turn LEFT (North) onto US-250 [3 Notched Mountain Hwy]	3.2 mi  Turn RIGHT (North) onto US-340 [N Delphine Ave]	2.5 mi  Turn RIGHT (South-East) onto SR-621 [Sandy Ridge Rd]	1.6 mi  Follow the Powerlines to the right, there has been a path cut away for the new powerlines.  Approximately 30 feet wide.  Follow until you see the pit on the right.  You have gone too far it you turn with the powerlines at a 90 degree angle. ",C,-78.83,38.087,Unnamed tributary,"South Fork Shenandoah River from 5 miles above the Town of Shenandoah's raw water intake to its confluence with the North and South Rivers and its tributaries to their headwaters in this section, and the South River and its tributaries from its confluenc",Potomac-Shenandoah,2,2.3649
